# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.376000e-01
# lRef        : 4.000000e-01
# Aref        : 1.256600e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	2.688858e-22	0.000000e+00	-6.883477e-21	-3.172853e-21	-3.710624e-21
0.05          	-1.607102e+01	3.202997e+00	3.885693e-03	-1.606907e+01	1.607296e+01
0.1           	-7.738694e-01	1.636235e-01	-2.898594e-03	-7.753187e-01	7.724202e-01
0.15          	-8.518211e-01	1.707509e-01	-8.620048e-05	-8.518642e-01	8.517780e-01
0.2           	-8.502340e-01	1.702839e-01	-8.090595e-05	-8.502745e-01	8.501936e-01
0.25          	-8.471086e-01	1.696318e-01	-6.664569e-05	-8.471419e-01	8.470753e-01
0.3           	-8.437265e-01	1.688970e-01	-4.747570e-05	-8.437503e-01	8.437028e-01
0.35          	-8.400144e-01	1.681129e-01	-3.512004e-05	-8.400319e-01	8.399968e-01
0.4           	-8.359100e-01	1.672930e-01	-3.456602e-05	-8.359272e-01	8.358927e-01
0.45          	-8.317995e-01	1.664490e-01	-2.867377e-05	-8.318139e-01	8.317852e-01
0.5           	-8.275145e-01	1.655904e-01	-2.705109e-05	-8.275281e-01	8.275010e-01
0.55          	-8.231705e-01	1.647248e-01	-2.736054e-05	-8.231842e-01	8.231568e-01
0.6           	-8.188839e-01	1.638537e-01	-2.365283e-05	-8.188958e-01	8.188721e-01
0.65          	-8.145812e-01	1.629819e-01	-2.055056e-05	-8.145915e-01	8.145709e-01
0.7           	-8.102444e-01	1.621117e-01	-1.942906e-05	-8.102541e-01	8.102347e-01
0.75          	-8.059762e-01	1.612449e-01	-1.649257e-05	-8.059845e-01	8.059680e-01
0.8           	-8.016597e-01	1.603844e-01	-1.634487e-05	-8.016679e-01	8.016516e-01
0.85          	-7.974626e-01	1.595318e-01	-1.294347e-05	-7.974691e-01	7.974561e-01
0.9           	-7.932797e-01	1.586853e-01	-1.032408e-05	-7.932849e-01	7.932746e-01
