# Residuals   
# Time        	p             	Ux            	Uz            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
0.05          	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	7.272938e-01
0.1           	1.664957e-03	9.932340e-01	3.145626e-01	1.022486e-01	9.740075e-02
0.15          	2.406661e-01	8.855381e-02	9.370902e-02	8.586761e-02	7.867922e-02
0.2           	1.526271e-01	5.959476e-02	5.115959e-02	6.862579e-02	6.143894e-02
0.25          	1.115315e-01	4.737780e-02	3.742611e-02	5.524236e-02	4.783182e-02
0.3           	9.181981e-02	3.967190e-02	3.010485e-02	4.691750e-02	4.563645e-02
0.35          	7.750499e-02	3.456298e-02	2.490351e-02	4.703188e-02	4.365038e-02
0.4           	6.798163e-02	3.138436e-02	2.090843e-02	4.426406e-02	3.997232e-02
0.45          	6.043451e-02	2.877455e-02	1.787667e-02	4.128001e-02	3.619768e-02
0.5           	5.262483e-02	2.656964e-02	1.556445e-02	3.824551e-02	3.304285e-02
0.55          	5.287364e-02	2.481733e-02	1.381969e-02	3.702867e-02	3.402878e-02
0.6           	4.092521e-02	2.315446e-02	1.225776e-02	3.709666e-02	3.309890e-02
0.65          	3.689240e-02	2.196910e-02	1.096520e-02	3.565764e-02	3.107081e-02
0.7           	3.365520e-02	2.100404e-02	9.913906e-03	3.414010e-02	2.901936e-02
0.75          	3.145581e-02	2.022715e-02	9.110806e-03	3.257903e-02	2.800018e-02
0.8           	2.989133e-02	1.955550e-02	8.453825e-03	3.213719e-02	2.846152e-02
0.85          	2.792471e-02	1.899206e-02	7.881663e-03	3.230086e-02	2.796766e-02
0.9           	2.733432e-02	1.851207e-02	7.389498e-03	3.134363e-02	2.657846e-02
0.95          	2.614844e-02	1.810090e-02	6.972291e-03	3.034142e-02	2.517298e-02
1             	2.489838e-02	1.771803e-02	6.613712e-03	2.930796e-02	2.501493e-02
1.05          	2.470269e-02	1.736248e-02	6.307352e-03	2.920696e-02	2.512478e-02
1.1           	2.278789e-02	1.701597e-02	6.042335e-03	2.926707e-02	2.472457e-02
1.15          	2.187187e-02	1.671212e-02	5.807835e-03	2.854016e-02	2.365616e-02
1.2           	2.188948e-02	1.637644e-02	5.601706e-03	2.779087e-02	2.260445e-02
1.25          	2.082979e-02	1.585394e-02	5.436016e-03	2.701417e-02	2.271427e-02
1.3           	2.010127e-02	1.528304e-02	5.289339e-03	2.702035e-02	2.267377e-02
1.35          	1.930802e-02	1.474251e-02	5.151754e-03	2.700660e-02	2.231407e-02
1.4           	1.903523e-02	1.423168e-02	5.027458e-03	2.645665e-02	2.146798e-02
1.45          	1.833406e-02	1.375396e-02	4.915164e-03	2.586118e-02	2.074582e-02
1.5           	1.787270e-02	1.330603e-02	4.817046e-03	2.525331e-02	2.088263e-02
1.55          	1.690711e-02	1.289037e-02	4.736846e-03	2.528754e-02	2.077205e-02
1.6           	1.587673e-02	1.248996e-02	4.654557e-03	2.523555e-02	2.044396e-02
1.65          	1.532359e-02	1.211509e-02	4.585389e-03	2.478195e-02	1.976023e-02
1.7           	1.461763e-02	1.176583e-02	4.520560e-03	2.428896e-02	1.930011e-02
1.75          	1.397890e-02	1.143311e-02	4.461975e-03	2.381754e-02	1.936779e-02
1.8           	1.365966e-02	1.111752e-02	4.408109e-03	2.384018e-02	1.922297e-02
1.85          	1.315499e-02	1.081947e-02	4.358085e-03	2.376204e-02	1.892356e-02
1.9           	1.274441e-02	1.053497e-02	4.311514e-03	2.338450e-02	1.835684e-02
1.95          	1.229863e-02	1.026541e-02	4.266383e-03	2.296162e-02	1.806970e-02
