# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	cylinder	(0.000000e+00 0.000000e+00 -3.884625e-04)	(0.000000e+00 0.000000e+00 3.884625e-04)
0.000000e+00	obstacle	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1.000000e+00	cylinder	(-1.040656e-03 -4.991858e-06 -1.419489e-04)	(-5.276718e-04 4.991866e-06 1.419180e-04)
1.000000e+00	obstacle	(-1.833759e-03 -1.087359e-05 -8.077291e-04)	(-6.132707e-05 1.087358e-05 8.080913e-04)
2.000000e+00	cylinder	(-1.021039e-03 -3.643918e-06 -7.773862e-05)	(-4.995751e-04 3.643917e-06 7.773074e-05)
2.000000e+00	obstacle	(-1.688154e-03 -1.050582e-05 -8.054696e-04)	(2.310488e-04 1.050586e-05 8.056968e-04)
3.000000e+00	cylinder	(-9.717119e-04 -3.152937e-06 -6.887175e-05)	(-4.694042e-04 3.152936e-06 6.887307e-05)
3.000000e+00	obstacle	(-1.614271e-03 -1.011886e-05 -8.041575e-04)	(3.412479e-04 1.011879e-05 8.043969e-04)
4.000000e+00	cylinder	(-9.242149e-04 -2.908400e-06 -7.173387e-05)	(-4.041839e-04 2.908399e-06 7.172651e-05)
4.000000e+00	obstacle	(-1.553967e-03 -9.772270e-06 -8.010484e-04)	(3.631136e-04 9.772231e-06 8.012929e-04)
5.000000e+00	cylinder	(-8.830118e-04 -2.776421e-06 -8.141469e-05)	(-3.360003e-04 2.776421e-06 8.140949e-05)
5.000000e+00	obstacle	(-1.501577e-03 -9.441685e-06 -7.966114e-04)	(3.743940e-04 9.441678e-06 7.968632e-04)
6.000000e+00	cylinder	(-8.459538e-04 -2.677397e-06 -8.545692e-05)	(-2.853051e-04 2.677397e-06 8.545302e-05)
6.000000e+00	obstacle	(-1.457190e-03 -9.181643e-06 -7.919145e-04)	(3.772739e-04 9.181643e-06 7.922026e-04)
7.000000e+00	cylinder	(-8.109698e-04 -2.580571e-06 -8.662994e-05)	(-2.467196e-04 2.580571e-06 8.662722e-05)
7.000000e+00	obstacle	(-1.421553e-03 -8.981748e-06 -7.874193e-04)	(3.776699e-04 8.981749e-06 7.877316e-04)
8.000000e+00	cylinder	(-7.783485e-04 -2.490841e-06 -8.636596e-05)	(-2.170686e-04 2.490841e-06 8.636403e-05)
8.000000e+00	obstacle	(-1.393115e-03 -8.828134e-06 -7.837000e-04)	(3.630763e-04 8.828134e-06 7.839427e-04)
9.000000e+00	cylinder	(-7.480311e-04 -2.410402e-06 -8.547597e-05)	(-1.953046e-04 2.410402e-06 8.547451e-05)
9.000000e+00	obstacle	(-1.370155e-03 -8.697166e-06 -7.814222e-04)	(3.415120e-04 8.697166e-06 7.816565e-04)
1.000000e+01	cylinder	(-7.199264e-04 -2.341264e-06 -8.415690e-05)	(-1.784535e-04 2.341264e-06 8.415536e-05)
1.000000e+01	obstacle	(-1.350409e-03 -8.585430e-06 -7.795121e-04)	(3.224293e-04 8.585430e-06 7.796936e-04)
