# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	cylinder	(0.000000e+00 0.000000e+00 -9.960589e-06)	(0.000000e+00 0.000000e+00 9.960589e-06)
0.000000e+00	obstacle	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1.000000e+00	cylinder	(-2.592018e-05 -1.560060e-07 -4.658081e-06)	(-1.246709e-05 1.560060e-07 4.657745e-06)
1.000000e+00	obstacle	(-4.484893e-05 -1.290788e-07 -1.567658e-05)	(-6.548495e-06 1.290788e-07 1.567722e-05)
2.000000e+00	cylinder	(-2.047553e-05 -1.130767e-07 -2.658962e-06)	(-1.216855e-05 1.130767e-07 2.658146e-06)
2.000000e+00	obstacle	(-3.760550e-05 -1.098330e-07 -1.440515e-05)	(-4.957611e-06 1.098330e-07 1.440665e-05)
3.000000e+00	cylinder	(-1.698096e-05 -9.208678e-08 -2.393805e-06)	(-1.154804e-05 9.208678e-08 2.393843e-06)
3.000000e+00	obstacle	(-3.249986e-05 -9.660967e-08 -1.328450e-05)	(-3.871024e-06 9.660967e-08 1.328637e-05)
4.000000e+00	cylinder	(-1.482525e-05 -7.908907e-08 -2.857314e-06)	(-1.097291e-05 7.908907e-08 2.857335e-06)
4.000000e+00	obstacle	(-2.879004e-05 -8.651007e-08 -1.231862e-05)	(-3.115406e-06 8.651007e-08 1.231936e-05)
5.000000e+00	cylinder	(-1.501430e-05 -7.011611e-08 -3.083309e-06)	(-1.044622e-05 7.011611e-08 3.083323e-06)
5.000000e+00	obstacle	(-2.602911e-05 -7.855668e-08 -1.151033e-05)	(-2.579247e-06 7.855668e-08 1.151110e-05)
6.000000e+00	cylinder	(-1.514065e-05 -6.884382e-08 -3.171866e-06)	(-9.967807e-06 6.884382e-08 3.171894e-06)
6.000000e+00	obstacle	(-2.391235e-05 -7.217254e-08 -1.082714e-05)	(-2.188627e-06 7.217254e-08 1.082801e-05)
7.000000e+00	cylinder	(-1.523370e-05 -6.719065e-08 -3.181843e-06)	(-9.372040e-06 6.719065e-08 3.181882e-06)
7.000000e+00	obstacle	(-2.224603e-05 -6.696853e-08 -1.025107e-05)	(-1.896079e-06 6.696853e-08 1.025191e-05)
8.000000e+00	cylinder	(-1.530481e-05 -6.521554e-08 -3.150917e-06)	(-8.835081e-06 6.521554e-08 3.150961e-06)
8.000000e+00	obstacle	(-2.091546e-05 -6.266521e-08 -9.772446e-06)	(-1.671540e-06 6.266521e-08 9.772076e-06)
9.000000e+00	cylinder	(-1.536089e-05 -6.314204e-08 -3.099779e-06)	(-8.384059e-06 6.314204e-08 3.099828e-06)
9.000000e+00	obstacle	(-1.982179e-05 -5.909621e-08 -9.368484e-06)	(-1.495012e-06 5.909621e-08 9.368131e-06)
1.000000e+01	cylinder	(-1.540606e-05 -6.106600e-08 -3.038652e-06)	(-7.997671e-06 6.106600e-08 3.038704e-06)
1.000000e+01	obstacle	(-1.890687e-05 -5.606801e-08 -9.023716e-06)	(-1.353087e-06 5.606801e-08 9.023384e-06)
1.100000e+01	cylinder	(-1.544295e-05 -5.904375e-08 -2.972967e-06)	(-7.661476e-06 5.904375e-08 2.973021e-06)
1.100000e+01	obstacle	(-1.813580e-05 -5.347880e-08 -8.727711e-06)	(-1.236616e-06 5.347880e-08 8.727398e-06)
1.200000e+01	cylinder	(-1.547338e-05 -5.708453e-08 -2.904040e-06)	(-7.366002e-06 5.708453e-08 2.904095e-06)
1.200000e+01	obstacle	(-1.747317e-05 -5.124046e-08 -8.472190e-06)	(-1.139241e-06 5.124046e-08 8.471889e-06)
1.300000e+01	cylinder	(-1.549846e-05 -5.520864e-08 -2.908307e-06)	(-7.103452e-06 5.520864e-08 2.908306e-06)
1.300000e+01	obstacle	(-1.689556e-05 -4.927257e-08 -8.251576e-06)	(-1.056454e-06 4.927257e-08 8.250143e-06)
1.400000e+01	cylinder	(-1.551941e-05 -5.343102e-08 -2.971385e-06)	(-6.867865e-06 5.343102e-08 2.971384e-06)
1.400000e+01	obstacle	(-1.638687e-05 -4.754418e-08 -8.060059e-06)	(-9.850128e-07 4.754418e-08 8.058651e-06)
1.500000e+01	cylinder	(-1.553708e-05 -5.176640e-08 -3.024960e-06)	(-6.644560e-06 5.176640e-08 3.024960e-06)
1.500000e+01	obstacle	(-1.593783e-05 -4.600505e-08 -7.890804e-06)	(-9.225428e-07 4.600505e-08 7.889421e-06)
1.600000e+01	cylinder	(-1.555192e-05 -5.021017e-08 -3.090048e-06)	(-6.420762e-06 5.021017e-08 3.090047e-06)
1.600000e+01	obstacle	(-1.553798e-05 -4.462482e-08 -7.740280e-06)	(-8.672824e-07 4.462482e-08 7.738921e-06)
1.700000e+01	cylinder	(-1.556438e-05 -4.875212e-08 -3.148835e-06)	(-6.219134e-06 4.875212e-08 3.148834e-06)
1.700000e+01	obstacle	(-1.517732e-05 -4.339060e-08 -7.605629e-06)	(-8.179050e-07 4.339060e-08 7.604293e-06)
1.800000e+01	cylinder	(-1.557488e-05 -4.738607e-08 -3.200209e-06)	(-6.036239e-06 4.738607e-08 3.200208e-06)
1.800000e+01	obstacle	(-1.484996e-05 -4.226997e-08 -7.484527e-06)	(-7.733912e-07 4.226997e-08 7.483214e-06)
1.900000e+01	cylinder	(-1.558375e-05 -4.610475e-08 -3.245126e-06)	(-5.869352e-06 4.610475e-08 3.245126e-06)
1.900000e+01	obstacle	(-1.455112e-05 -4.125095e-08 -7.375059e-06)	(-7.329493e-07 4.125095e-08 7.373767e-06)
2.000000e+01	cylinder	(-1.559125e-05 -4.490147e-08 -3.284425e-06)	(-5.716313e-06 4.490147e-08 3.284425e-06)
2.000000e+01	obstacle	(-1.427703e-05 -4.032289e-08 -7.275644e-06)	(-6.959632e-07 4.032289e-08 7.274372e-06)
2.100000e+01	cylinder	(-1.559760e-05 -4.377041e-08 -3.318832e-06)	(-5.575355e-06 4.377041e-08 3.318832e-06)
2.100000e+01	obstacle	(-1.402800e-05 -3.946939e-08 -7.184964e-06)	(-6.619393e-07 3.946939e-08 7.183712e-06)
2.200000e+01	cylinder	(-1.560299e-05 -4.292062e-08 -3.348980e-06)	(-5.444945e-06 4.292062e-08 3.348979e-06)
2.200000e+01	obstacle	(-1.379809e-05 -3.868224e-08 -7.101927e-06)	(-6.304699e-07 3.868224e-08 7.100693e-06)
2.300000e+01	cylinder	(-1.560757e-05 -4.362405e-08 -3.375416e-06)	(-5.323865e-06 4.362405e-08 3.375416e-06)
2.300000e+01	obstacle	(-1.358470e-05 -3.795377e-08 -7.025610e-06)	(-6.012290e-07 3.795377e-08 7.024393e-06)
2.400000e+01	cylinder	(-1.561146e-05 -4.426108e-08 -3.398619e-06)	(-5.211085e-06 4.426108e-08 3.398618e-06)
2.400000e+01	obstacle	(-1.338601e-05 -3.727815e-08 -6.955228e-06)	(-5.739452e-07 3.727815e-08 6.954029e-06)
2.500000e+01	cylinder	(-1.561477e-05 -4.484006e-08 -3.419000e-06)	(-5.105694e-06 4.484006e-08 3.419000e-06)
2.500000e+01	obstacle	(-1.320046e-05 -3.665102e-08 -6.890116e-06)	(-5.484084e-07 3.665102e-08 6.888932e-06)
2.600000e+01	cylinder	(-1.561759e-05 -4.536789e-08 -3.436919e-06)	(-5.006942e-06 4.536789e-08 3.436919e-06)
2.600000e+01	obstacle	(-1.302671e-05 -3.606592e-08 -6.829702e-06)	(-5.244229e-07 3.606592e-08 6.828534e-06)
2.700000e+01	cylinder	(-1.561999e-05 -4.585062e-08 -3.452688e-06)	(-4.914175e-06 4.585062e-08 3.452688e-06)
2.700000e+01	obstacle	(-1.286358e-05 -3.551870e-08 -6.773494e-06)	(-5.018280e-07 3.551870e-08 6.772340e-06)
2.800000e+01	cylinder	(-1.562202e-05 -4.629346e-08 -3.466577e-06)	(-4.826829e-06 4.629346e-08 3.466577e-06)
2.800000e+01	obstacle	(-1.271115e-05 -3.500562e-08 -6.721068e-06)	(-4.804911e-07 3.500562e-08 6.719927e-06)
2.900000e+01	cylinder	(-1.562375e-05 -4.670084e-08 -3.478818e-06)	(-4.744417e-06 4.670084e-08 3.478818e-06)
2.900000e+01	obstacle	(-1.256910e-05 -3.452372e-08 -6.672055e-06)	(-4.602991e-07 3.452372e-08 6.670928e-06)
3.000000e+01	cylinder	(-1.562522e-05 -4.707663e-08 -3.489615e-06)	(-4.666480e-06 4.707663e-08 3.489615e-06)
3.000000e+01	obstacle	(-1.243490e-05 -3.407035e-08 -6.626133e-06)	(-4.411440e-07 3.407035e-08 6.625018e-06)
3.100000e+01	cylinder	(-1.562647e-05 -4.742431e-08 -3.499146e-06)	(-4.592620e-06 4.742431e-08 3.499146e-06)
3.100000e+01	obstacle	(-1.230791e-05 -3.364302e-08 -6.583020e-06)	(-4.229433e-07 3.364302e-08 6.581916e-06)
3.200000e+01	cylinder	(-1.562752e-05 -4.774683e-08 -3.507568e-06)	(-4.522516e-06 4.774683e-08 3.507568e-06)
3.200000e+01	obstacle	(-1.218753e-05 -3.323952e-08 -6.542465e-06)	(-4.056158e-07 3.323952e-08 6.541373e-06)
3.300000e+01	cylinder	(-1.562842e-05 -4.804686e-08 -3.515016e-06)	(-4.455873e-06 4.804686e-08 3.515016e-06)
3.300000e+01	obstacle	(-1.207325e-05 -3.285779e-08 -6.504265e-06)	(-3.890945e-07 3.285779e-08 6.503166e-06)
3.400000e+01	cylinder	(-1.562917e-05 -4.832664e-08 -3.521607e-06)	(-4.392440e-06 4.832664e-08 3.521607e-06)
3.400000e+01	obstacle	(-1.196458e-05 -3.249633e-08 -6.468714e-06)	(-3.733200e-07 3.249633e-08 6.467103e-06)
3.500000e+01	cylinder	(-1.562980e-05 -4.858818e-08 -3.527446e-06)	(-4.331474e-06 4.858818e-08 3.527446e-06)
