# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((2.301243e-12 -1.306927e-12 -4.686413e-13) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.230505e-13 3.257730e-01 -6.625776e-15) (0.000000e+00 0.000000e+00 0.000000e+00))
1             	((-3.457408e+02 2.066030e-01 -4.381732e-13) (5.668190e+00 -8.926147e-04 -1.583008e+00)) ((9.673877e-02 9.224396e+01 -7.811633e-15) (4.189710e-04 -5.582570e+00 6.420622e-06))
1.00568       	((-2.426403e+02 -4.594357e-02 -4.393829e-13) (5.717695e+00 -8.425976e-04 -1.187161e+00)) ((-2.097143e-02 6.064487e+01 -1.740105e-14) (4.080029e-04 -5.662544e+00 4.806584e-06))
1.01214       	((-6.924004e+01 -8.786538e+00 -4.151595e-13) (7.309218e+00 -1.513248e-01 -1.317354e+00)) ((-5.718051e+00 1.867487e+01 -7.758991e-04) (2.557164e-01 -7.997889e+00 -1.136921e-01))
1.01601       	((-2.635684e+02 -7.032328e+00 -4.009735e-13) (7.125580e+00 -1.429903e-01 -1.177202e+00)) ((-2.789488e+00 6.818611e+01 -1.128654e-04) (2.005246e-01 -7.811237e+00 -1.072611e-01))
1.02022       	((-2.631304e+02 2.214829e+00 -4.014087e-13) (6.985348e+00 -1.452013e-01 -1.029818e+00)) ((1.051685e+00 6.719923e+01 -7.336212e-04) (1.502380e-01 -7.642946e+00 -1.032048e-01))
1.02459       	((-2.586322e+02 5.649199e+00 -4.024620e-13) (6.872567e+00 -1.494268e-01 -8.563166e-01)) ((2.515028e+00 6.566834e+01 -9.065198e-04) (1.045201e-01 -7.501286e+00 -9.726298e-02))
1.02854       	((-2.566940e+02 2.282065e+00 -4.028695e-13) (6.791431e+00 -1.450668e-01 -6.998561e-01)) ((9.949239e-01 6.573049e+01 -9.468418e-04) (6.651754e-02 -7.394103e+00 -9.160888e-02))
1.03222       	((-2.526911e+02 1.368476e+00 -4.030817e-13) (6.731886e+00 -1.395845e-01 -5.696582e-01)) ((5.450734e-01 6.493824e+01 -9.971784e-04) (3.387824e-02 -7.309820e+00 -8.633357e-02))
1.0358        	((-2.461939e+02 1.706637e+00 -4.033718e-13) (6.686577e+00 -1.322323e-01 -4.608398e-01)) ((6.719785e-01 6.308996e+01 -1.032697e-03) (5.151165e-03 -7.240350e+00 -8.115346e-02))
1.03922       	((-2.403479e+02 1.214167e-01 -4.035469e-13) (6.652551e+00 -1.231580e-01 -3.739563e-01)) ((-5.530581e-02 6.158540e+01 -1.077462e-03) (-2.034594e-02 -7.183302e+00 -7.602292e-02))
1.04257       	((-2.322539e+02 2.871002e+00 -4.042802e-13) (6.626289e+00 -1.159161e-01 -2.940607e-01)) ((1.182890e+00 5.892844e+01 -9.976616e-04) (-4.211960e-02 -7.135985e+00 -7.150351e-02))
1.04591       	((-2.292748e+02 1.432549e+00 -4.046287e-13) (6.602267e+00 -1.081361e-01 -2.249489e-01)) ((5.612563e-01 5.867277e+01 -8.986043e-04) (-6.193618e-02 -7.095012e+00 -6.733808e-02))
1.0493        	((-2.233786e+02 1.021404e+00 -4.050295e-13) (6.585377e+00 -1.005050e-01 -1.644649e-01)) ((3.770497e-01 5.716340e+01 -7.878469e-04) (-8.014129e-02 -7.058515e+00 -6.351486e-02))
1.05282       	((-2.171457e+02 1.104844e+00 -4.054856e-13) (6.572213e+00 -9.354616e-02 -1.103513e-01)) ((4.238534e-01 5.555294e+01 -6.751750e-04) (-9.697860e-02 -7.025528e+00 -5.990105e-02))
1.05644       	((-2.110480e+02 9.104862e-01 -4.059417e-13) (6.562300e+00 -8.756566e-02 -6.385951e-02)) ((3.342291e-01 5.406591e+01 -5.886062e-04) (-1.122303e-01 -6.995459e+00 -5.676764e-02))
