# Time step   
# Time        	deltaT
0             	1.000000e+00
1             	1.000000e+00
1.00568       	5.681818e-03
1.01214       	6.456612e-03
1.01601       	3.873967e-03
1.02022       	4.205075e-03
1.02459       	4.374029e-03
1.02854       	3.949022e-03
1.03222       	3.679771e-03
1.0358        	3.584369e-03
1.03922       	3.419132e-03
1.04257       	3.347652e-03
1.04591       	3.335988e-03
1.0493        	3.395347e-03
1.05282       	3.521101e-03
1.05644       	3.615176e-03
1.06017       	3.729490e-03
1.06404       	3.867619e-03
1.06805       	4.017012e-03
1.07223       	4.179134e-03
1.07659       	4.355717e-03
1.08086       	4.275055e-03
1.08504       	4.177895e-03
1.0892        	4.158905e-03
1.09338       	4.177982e-03
1.09761       	4.236552e-03
1.10193       	4.317634e-03
1.10636       	4.423980e-03
1.11089       	4.536264e-03
1.1155        	4.606776e-03
1.12015       	4.655268e-03
1.12494       	4.781770e-03
1.12982       	4.888625e-03
1.13485       	5.029915e-03
1.14          	5.149675e-03
1.14522       	5.212095e-03
1.15043       	5.212095e-03
1.15549       	5.056973e-03
1.16045       	4.967732e-03
1.16536       	4.909630e-03
1.17024       	4.880919e-03
1.1751        	4.852376e-03
1.17986       	4.768230e-03
1.1845        	4.633535e-03
1.18895       	4.456296e-03
1.19327       	4.314073e-03
1.19745       	4.179957e-03
1.2015        	4.053292e-03
1.20545       	3.952963e-03
1.20931       	3.857017e-03
1.21306       	3.747339e-03
1.21679       	3.729579e-03
1.22052       	3.729579e-03
1.22427       	3.747510e-03
1.22768       	3.417333e-03
1.23069       	3.005125e-03
1.23331       	2.625638e-03
1.23533       	2.017596e-03
1.23711       	1.782445e-03
1.23893       	1.816396e-03
1.24095       	2.018753e-03
1.24319       	2.245714e-03
1.24554       	2.343051e-03
1.2479        	2.365086e-03
1.25053       	2.629711e-03
1.25294       	2.409864e-03
1.25528       	2.334556e-03
1.25786       	2.585845e-03
1.26045       	2.585845e-03
1.26303       	2.576835e-03
1.2659        	2.878807e-03
